name,runway,time,city,money,brand
宝来 2017款 1.6L 手自一体 舒适版,0.22,2017,南昌,10.68,大众
速腾 2017款 230TSI 双离合 豪华版,0.28,2017,乌鲁木齐,14.80,大众
甲壳虫 2014款 1.4 TSI 豪华型,2.20,2014,中山,15.98,大众
捷达 2008款 GiF 前卫,4.76,2009,长春,3.80,大众
POLO 2014款 1.4L 自动 舒适版,2.00,2014,惠州,6.88,大众
POLO 2011款 1.6L 手动 致尚版,3.80,2011,上海,4.40,大众
朗逸 2011款 1.6L 自动品雅版,3.83,2011,上海,6.50,大众
POLO 2016款 1.6L 自动 舒适版,1.26,2016,临沂,8.00,大众
凌渡 2015款 1.4T  DSG 280TSI 豪华版,0.27,2016,天津,14.90,大众
速腾 2014款 1.6L 手自一体  时尚型,2.54,2014,南京,9.80,大众
宝来 2008款 1.6L 自动豪华型,6.10,2010,苏州,5.20,大众
速腾 2014款 1.6L 手自一体  时尚型,2.03,2015,杭州,10.38,大众
高尔夫 2012款 1.4T 自动舒适型,3.53,2013,太原,8.60,大众
桑塔纳 2016款 1.6L 手动 舒适版,1.20,2016,温州,6.88,大众
大众CC 2016款 1.8T 双离合 尊贵版,1.00,2016,济宁,17.68,大众
速腾 2015款 1.4T 双离合 230TSI 豪华型,2.07,2015,上海,12.80,大众
朗行 2015款 1.6L 手自一体  风尚版,1.20,2016,沈阳,9.68,大众
高尔夫 2015款 1.4TSI 自动舒适型,2.42,2015,昆明,11.20,大众
甲壳虫 2013款 1.4 TSI 时尚型,3.42,2013,南京,13.20,大众
甲壳虫 2010款 1.6,6.00,2010,重庆,8.18,大众
尚酷 2010款 2.0 TSI 豪华版,6.20,2010,镇江,12.80,大众
高尔夫 2012款 1.4T 手动舒适型,4.36,2012,济南,7.38,大众
帕萨特 2005款 领驭 1.8T 自动豪华型,8.97,2006,中山,3.98,大众
迈腾 2013款 1.8T 手自一体 豪华型,4.10,2013,大连,13.60,大众
宝来 2008款 1.6L 手自一体舒适型,7.12,2010,南宁,5.58,大众
宝来 2012款 1.6L 自动 舒适型,3.61,2012,北京,6.65,大众
朗逸 2013款 1.6L 自动 风尚版,1.63,2016,惠州,10.50,大众
朗逸 2011款 1.4TSI DSG品轩版,5.00,2011,大连,6.90,大众
POLO 2011款 1.4L 自动 致尚版,2.98,2011,杭州,5.80,大众
朗逸 2011款 1.6L 自动品悠版,4.70,2011,青岛,6.50,大众
途观L 2017款 380TSI 双离合 四驱 旗舰版,0.70,2017,郑州,28.68,大众
朗逸 2013款 1.6L 手动 风尚版,2.90,2014,绵阳,6.80,大众
速腾 2006款 2.0L/2V 手自一体时尚型,7.83,2007,南京,3.75,大众
大众CC 2016款 1.8T 双离合 豪华版,0.24,2017,青岛,20.08,大众
帕萨特 2013款 2.0T 双离合 至尊版,3.70,2013,济南,13.80,大众
宝来 2006款 1.6L手动时尚型TL,8.30,2007,惠州,2.80,大众
POLO 2006款 劲情 1.4 MT时尚版,5.60,2007,济南,3.00,大众
POLO 2016款 1.4L 手动 风尚版,1.13,2016,西宁,5.80,大众
帕萨特 2015款 1.8T 双离合 至尊版,1.20,2016,昆明,18.50,大众
Eos 2011款 2.0 TFSI 自动,3.80,2013,昆明,21.80,大众
宝来 2013款 1.6L 手动 舒适型,2.60,2013,沈阳,6.68,大众
途昂 2017款 380TSI 四驱 豪华版,0.10,2018,西安,38.30,大众
高尔夫(进口) 2011款 2.0T R,4.28,2013,深圳,20.80,大众
POLO 2011款 1.4L 手动 致尚版,4.30,2012,哈尔滨,4.60,大众
途锐 2017款 3.0 TSI 拓野版,0.04,2017,成都,59.80,大众
朗逸 2013款 1.6L 自动 舒适版,3.40,2014,镇江,8.90,大众
甲壳虫 2007款 敞篷 2.0标配,6.00,2008,柳州,10.80,大众
途观 2016款 300TSI 手自一体 两驱 风尚版,0.50,2017,成都,17.38,大众
POLO 2013款 1.6L 自动 舒适版,4.50,2012,镇江,5.98,大众
捷达 2015款 1.6L 自动豪华型,1.00,2016,贵阳,7.28,大众
朗逸 2011款 1.6L 手动品悠版,4.81,2012,佛山,5.50,大众
宝来 2006款 1.6L自动豪华型HL,8.20,2008,太原,3.45,大众
迈腾 2017款 380TSI 双离合 旗舰版,1.00,2016,银川,25.60,大众
POLO 2007款 Cross 1.6 AT,6.71,2009,北京,5.20,大众
POLO 2007款 劲情 1.6自动风尚版,8.00,2008,金华,3.60,大众
高尔夫 2016款 1.4TSI 自动舒适型,1.70,2016,郑州,11.89,大众
高尔夫 2012款 1.4T 自动舒适型,4.50,2012,太原,8.20,大众
POLO 2009款 劲情 1.4L 自动舒尚版,4.01,2010,上海,4.35,大众
宝来 2016款 1.6L 手自一体豪华型,0.70,2017,西安,10.20,大众
迈腾 2012款 1.8TSI DSG 尊贵型,4.30,2013,哈尔滨,14.70,大众
夏朗 2014款 2.0L TSI 标配型,0.65,2014,石家庄,25.80,大众
朗逸 2017款 1.6L 手自一体 风尚版,0.10,2018,成都,12.98,大众
宝来 2014款 1.6L 手动 舒适型,1.80,2015,成都,6.60,大众
桑塔纳 2013款 1.6L 自动 风尚版,1.80,2015,郑州,6.68,大众
POLO 2013款 1.4L 自动 舒适版,3.40,2013,南京,5.98,大众
途观 2016款 280TSI 双离合 两驱 丝绸之路风尚版,0.30,2016,哈尔滨,18.80,大众
迈腾 2017款 280TSI 双离合 领先版,0.50,2017,郑州,17.20,大众
POLO 2014款 1.6L 自动 舒适版,3.00,2014,厦门,6.80,大众
速腾 2014款 1.4T 双离合 豪华型,3.00,2014,白山,9.95,大众
宝来 2017款 1.6L 手自一体 豪华版,0.80,2017,柳州,10.58,大众
